source,target,type,name,node_lat,node_lon,node_tg_lat,node_tg_lon,node_type,node_tg_type,distance,type_num,node_type_num,node_tg_type_num
79.0,8700.0,road,D10P,2.672563,48.860651,2.668728,48.861166,road,road,0.4302521577621945,1,1,1
79.0,6950.0,road,D418,2.672563,48.860651,2.675166,48.863162,road,road,0.4019509451266821,1,1,1
80.0,8330.0,road,None,2.323834,48.859166,2.321663,48.859972,road,road,0.2574783279446589,1,1,1
80.0,11856.0,crosslayer,None,2.323834,48.859166,2.323117,48.858678,road,crosslayer,0.096415785896189,4,1,4
80.0,11857.0,crosslayer,None,2.323834,48.859166,2.321055,48.860697,road,crosslayer,0.3527343001828204,4,1,4
80.0,12165.0,crosslayer,None,2.323834,48.859166,2.326128,48.860522,road,crosslayer,0.2962493700084441,4,1,4
80.0,11961.0,crosslayer,None,2.323834,48.859166,2.314674,48.862757,road,crosslayer,1.0938990636523076,4,1,4
81.0,810.0,road,None,2.344423,48.853628,2.34495,48.854224,road,road,0.0884227250868368,1,1,1
81.0,6193.0,road,None,2.344423,48.853628,2.340405,48.855922,road,road,0.5143648136591085,1,1,1
81.0,11753.0,crosslayer,None,2.344423,48.853628,2.345462,48.850893,road,crosslayer,0.3250854280468234,4,1,4
81.0,11818.0,crosslayer,None,2.344423,48.853628,2.339427,48.852178,road,crosslayer,0.578416783992496,4,1,4
81.0,11919.0,crosslayer,None,2.344423,48.853628,2.347198,48.855157,road,crosslayer,0.3522361370613565,4,1,4
81.0,11985.0,crosslayer,None,2.344423,48.853628,2.344362,48.853566,road,crosslayer,0.0096672896382843,4,1,4
81.0,12004.0,crosslayer,None,2.344423,48.853628,2.345551,48.853434,road,crosslayer,0.1272663214529024,4,1,4
81.0,12160.0,crosslayer,None,2.344423,48.853628,2.347415,48.857599,road,crosslayer,0.5525670151867239,4,1,4
82.0,169.0,road,None,2.016391,48.856957,2.020844,48.860101,road,road,0.6060039905624649,1,1,1
82.0,7922.0,road,D307,2.016391,48.856957,2.007322,48.85905,road,road,1.0349017082209475,1,1,1
83.0,11241.0,road,None,2.232743,48.863761,2.234389,48.865017,road,road,0.2301615689185904,1,1,1
84.0,1273.0,road,None,2.267107,48.863985,2.266764,48.864343,road,road,0.0551074330604298,1,1,1
84.0,12114.0,crosslayer,None,2.267107,48.863985,2.272128,48.864463,road,crosslayer,0.5608300702914153,4,1,4
85.0,6224.0,road,None,2.48246,48.87431,2.483805,48.874554,road,road,0.1519937133477154,1,1,1
85.0,7688.0,road,N186,2.48246,48.87431,2.479675,48.877414,road,road,0.4634706150038346,1,1,1
85.0,12183.0,crosslayer,None,2.48246,48.87431,2.485847,48.87034,road,crosslayer,0.5799544086005516,4,1,4
86.0,6226.0,road,A186,2.444669,48.87415,2.438148,48.874286,road,road,0.7252595086619885,1,1,1
86.0,9900.0,road,A186,2.444669,48.87415,2.438907,48.875301,road,road,0.6533403643266207,1,1,1
87.0,5191.0,road,None,2.359559,48.864646,2.361808,48.866758,road,road,0.3429237323320006,1,1,1
87.0,2002.0,road,None,2.359559,48.864646,2.355814,48.865368,road,road,0.424080406532149,1,1,1
87.0,11703.0,crosslayer,None,2.359559,48.864646,2.361423,48.866634,road,crosslayer,0.3028900777508619,4,1,4
87.0,11916.0,crosslayer,None,2.359559,48.864646,2.356346,48.865488,road,crosslayer,0.3693133712297652,4,1,4
88.0,9305.0,road,None,2.623049,48.86577,2.623272,48.869103,road,road,0.3710538102276531,1,1,1
89.0,6628.0,road,None,2.301556,48.864286,2.300126,48.864956,road,road,0.1755709966132663,1,1,1
89.0,1271.0,road,None,2.301556,48.864286,2.318228,48.864755,road,road,1.8545740025537427,1,1,1
89.0,11872.0,crosslayer,None,2.301556,48.864286,2.300626,48.864969,road,crosslayer,0.1282669496704138,4,1,4
89.0,12138.0,crosslayer,None,2.301556,48.864286,2.300944,48.862612,road,crosslayer,0.1980488046857095,4,1,4
90.0,6226.0,road,None,2.440384,48.874206,2.438148,48.874286,road,road,0.2487906510781039,1,1,1
90.0,7899.0,road,D36BIS,2.440384,48.874206,2.44062,48.874985,road,road,0.0904334511734959,1,1,1
91.0,4038.0,road,None,2.358337,48.873732,2.357384,48.874765,road,road,0.1562077743700814,1,1,1
91.0,3597.0,road,None,2.358337,48.873732,2.360241,48.875855,road,road,0.3169485946851991,1,1,1
91.0,11849.0,crosslayer,None,2.358337,48.873732,2.358055,48.876038,road,crosslayer,0.2581101558135406,4,1,4
91.0,11851.0,crosslayer,None,2.358337,48.873732,2.355852,48.87231,road,crosslayer,0.3182951368442204,4,1,4
91.0,11926.0,crosslayer,None,2.358337,48.873732,2.361153,48.870786,road,crosslayer,0.4529614956251858,4,1,4
91.0,12088.0,crosslayer,None,2.358337,48.873732,2.358088,48.879975,road,crosslayer,0.6941544236053337,4,1,4
