node,lat,lon,city,city_num,state,state_num
2807,30.50581,114.616317,Hongshan District,527,Hubei,10
2574,30.5331569999999,114.527126,Hongshan District,527,Hubei,10
2582,30.492266,114.949738,Huangzhou District,63,Hubei,10
2580,30.5136429999999,114.991867,Huangzhou District,63,Hubei,10
2575,30.5376119999999,114.793094,Huarong District,528,Hubei,10
2759,30.7626929999999,103.979023,Pidu District,532,Sichuan,15
2569,30.771438,103.94422,Pidu District,532,Sichuan,15
2663,30.829698,103.886259,Pidu District,532,Sichuan,15
2532,30.957388,103.638496,Dujiangyan City,533,Sichuan,15
2672,30.8975389999999,103.612953,Dujiangyan City,533,Sichuan,15
2664,30.814332,103.914638999999,Pidu District,532,Sichuan,15
2615,30.9935119999999,103.623061,Dujiangyan City,533,Sichuan,15
2785,30.986656,103.647569,Dujiangyan City,533,Sichuan,15
2490,30.874101,103.812064,Pidu District,532,Sichuan,15
2662,30.985465,103.931447,Chengdu City,534,Sichuan,15
2758,30.742234,103.997311999999,Pidu District,532,Sichuan,15
2635,31.3102729999999,104.541034,Luojiang District,535,Sichuan,15
1069,30.62886,104.141625,Chenghua District,536,Sichuan,15
2673,31.676914,104.707185999999,Mianyang City,126,Sichuan,15
2554,31.016031,104.282998,Guanghan City,537,Sichuan,15
2671,30.904914,104.214522,Guanghan City,537,Sichuan,15
2770,30.805453,104.199834999999,Xindu District,538,Sichuan,15
2516,30.604652,104.066909,Wuhou District,539,Sichuan,15
2709,30.5750859999999,103.963335,Shuangliu District,540,Sichuan,15
2614,29.7501169999999,103.57594,Jiajiang,541,Sichuan,15
2637,30.0720059999999,103.830145,Meishan,542,Sichuan,15
2661,30.213049,103.868050999999,Pengshan,543,Sichuan,15
2774,30.470153,103.880036,Xinjin District,544,Sichuan,15
954,22.990535,113.274902999999,Panyu District,545,Guangdong Province,12
2715,22.881702,113.283218,Shunde District,546,Guangdong Province,12
2686,22.7580579999999,113.319314,Shunde District,546,Guangdong Province,12
2766,22.6535879999999,113.276382,Zhongshan,547,Guangdong Province,12
2802,22.5635319999999,113.389055,Zhongshan,547,Guangdong Province,12
2646,22.2750549999999,113.521396,Xiangzhou District,548,Guangdong Province,12
2806,22.2211059999999,113.555901,Xiangzhou District,548,Guangdong Province,12
2726,22.368727,113.55795,Xiangzhou District,548,Guangdong Province,12
2714,22.828543,113.326195,Nansha District,549,Guangdong Province,12
2505,22.9150829999999,113.263979,Shunde District,546,Guangdong Province,12
2650,22.4925169999999,113.539491,Zhongshan,547,Guangdong Province,12
2803,22.5501639999999,113.438376,Zhongshan,547,Guangdong Province,12
2668,22.240753,113.532656,Xiangzhou District,548,Guangdong Province,12
2805,22.407015,113.55833,Xiangzhou District,548,Guangdong Province,12
2530,22.604934,113.282889999999,Zhongshan,547,Guangdong Province,12
2509,22.94806,113.259466,Shunde District,546,Guangdong Province,12
2654,22.718762,113.315683,Zhongshan,547,Guangdong Province,12
2553,22.598006,113.206007,Zhongshan,547,Guangdong Province,12
2809,22.566652,113.109845,Jiangmen,550,Guangdong Province,12
2773,22.523551,113.077669,Jiangmen,550,Guangdong Province,12
2011,40.7434299999999,120.763279999999,Huludao City,72,Liaoning,13
1762,41.335531,121.807886999999,Panshan County,551,Liaoning,13
2127,41.55922,122.771469999999,Shenyang City,188,Liaoning,13
2233,41.03833,121.22935,Taihe District,206,Liaoning,13
87,40.0421899999999,119.84719,Huludao City,72,Liaoning,13
897,34.671508,112.915721,Zhengzhou,38,Henan,8
1509,34.5938149999999,112.458337,Luolong District,552,Henan,8
45,34.7499449999999,111.159677,Sanmenxia,57,Henan,8
1634,34.5774649999999,110.688911,Lingbao City,42,Henan,8
412,34.58158,110.09846,Huayin City,56,Shaanxi,1
1579,34.536309,109.481271,Weinan City,6,Shaanxi,1
