node,lat,lon,geometry,city,state
533,41.994903,126.544057,POINT (126.544057 41.994903),,Jilin
1433,42.0415199999999,126.58265,POINT (126.58265 42.0415199999999),Jiangyuan,Jilin
619,42.0788629999999,126.775595999999,POINT (126.775595999999 42.0788629999999),,Jilin
1589,42.06635,126.90007,POINT (126.90007 42.06635),,Jilin
1263,42.0482209999999,127.109426,POINT (127.109426 42.0482209999999),,Jilin
1386,42.128148,127.176018,POINT (127.176018 42.128148),,Jilin
233,42.17631,127.24051,POINT (127.24051 42.17631),,Jilin
1266,42.18838,127.48166,POINT (127.48166 42.18838),Fusong,Jilin
1487,42.33988,127.540679999999,POINT (127.540679999999 42.33988),,Jilin
1788,42.51339,127.69989,POINT (127.69989 42.51339),,Jilin
1734,42.4594689999999,128.138838999999,POINT (128.138838999999 42.4594689999999),Antu County,Jilin
2338,42.51337,127.81476,POINT (127.81476 42.51337),,Jilin
2625,41.2629609999999,119.415415999999,POINT (119.415415999999 41.2629609999999),Chaoyang City,Liaoning
2713,41.1195359999999,119.170946,POINT (119.170946 41.1195359999999),Chaoyang City,Liaoning
2748,40.982702,119.07152,POINT (119.07152 40.982702),,Liaoning
2528,40.922134,119.07983,POINT (119.07983 40.922134),,Liaoning
2531,40.8705939999999,119.09705,POINT (119.09705 40.8705939999999),Chaoyang City,Liaoning
2527,40.749381,119.122646,POINT (119.122646 40.749381),,Liaoning
2783,40.7257529999999,119.141909,POINT (119.141909 40.7257529999999),,Liaoning
2502,40.7334129999999,119.213860999999,POINT (119.213860999999 40.7334129999999),Chaoyang City,Liaoning
2683,40.816267,119.392187,POINT (119.392187 40.816267),,Liaoning
2732,40.8606139999999,119.445871,POINT (119.445871 40.8606139999999),,Liaoning
2597,40.885463,119.504966,POINT (119.504966 40.885463),,Liaoning
2778,40.9141279999999,119.552612,POINT (119.552612 40.9141279999999),,Liaoning
2653,40.87859,119.756246,POINT (119.756246 40.87859),,Liaoning
2591,40.806617,119.823294,POINT (119.823294 40.806617),Jianchang,Liaoning
2652,40.718952,119.94301,POINT (119.94301 40.718952),Huludao City,Liaoning
2781,40.7010489999999,120.007071,POINT (120.007071 40.7010489999999),Huludao City,Liaoning
2782,40.7001459999999,120.073392,POINT (120.073392 40.7001459999999),Huludao City,Liaoning
2716,40.730913,120.109213,POINT (120.109213 40.730913),,Liaoning
2548,40.7710489999999,120.209554999999,POINT (120.209554999999 40.7710489999999),Huludao City,Liaoning
2524,40.728327,120.324901,POINT (120.324901 40.728327),Huludao City,Liaoning
2517,40.728388,120.42811,POINT (120.42811 40.728388),Huludao City,Liaoning
2558,40.738325,120.533575,POINT (120.533575 40.738325),Huludao City,Liaoning
2602,40.7920099999999,120.644825,POINT (120.644825 40.7920099999999),Huludao City,Liaoning
2627,40.770018,120.807213,POINT (120.807213 40.770018),Huludao City,Liaoning
2786,40.790661,120.883587,POINT (120.883587 40.790661),Huludao City,Liaoning
2546,40.9040049999999,121.012276,POINT (121.012276 40.9040049999999),,Liaoning
2660,41.073338,121.050419,POINT (121.050419 41.073338),Taihe District,Liaoning
2728,41.113211,121.096521,POINT (121.096521 41.113211),Taihe District,Liaoning
1343,43.969602,126.553276999999,POINT (126.553276999999 43.969602),,Jilin
220,44.0663309999999,126.537834,POINT (126.537834 44.0663309999999),,Jilin
626,44.163428,126.58076,POINT (126.58076 44.163428),,Jilin
120,44.25164,126.71458,POINT (126.71458 44.25164),,Jilin
508,44.2883,126.803079999999,POINT (126.803079999999 44.2883),,Jilin
1847,44.1478699999999,125.47758,POINT (125.47758 44.1478699999999),Changchun City,Jilin
1451,44.2285899999999,125.53236,POINT (125.53236 44.2285899999999),Changchun City,Jilin
908,44.3828099999999,125.62903,POINT (125.62903 44.3828099999999),Dehui City,Jilin
2130,44.65838,125.82174,POINT (125.82174 44.65838),Dehui City,Jilin
714,44.7771789999999,125.876858,POINT (125.876858 44.7771789999999),Dehui City,Jilin
210,44.8014099999999,126.16105,POINT (126.16105 44.8014099999999),Yushu City,Jilin
362,44.8020799999999,126.30517,POINT (126.30517 44.8020799999999),Yushu City,Jilin
1350,44.8170599999999,126.53501,POINT (126.53501 44.8170599999999),Yushu City,Jilin
2681,41.263812,124.228052,POINT (124.228052 41.263812),,Liaoning
2734,41.247664,124.346678,POINT (124.346678 41.247664),,Liaoning
630,40.552719,124.251101,POINT (124.251101 40.552719),Fengcheng City,Liaoning
1769,40.634298,124.308565,POINT (124.308565 40.634298),Fengcheng City,Liaoning
2215,40.6892199999999,124.34756,POINT (124.34756 40.6892199999999),Fengcheng City,Liaoning
2126,40.7255899999999,124.37908,POINT (124.37908 40.7255899999999),Fengcheng City,Liaoning
256,40.7540699999999,124.418679999999,POINT (124.418679999999 40.7540699999999),Fengcheng City,Liaoning
978,40.7988399999999,124.45596,POINT (124.45596 40.7988399999999),Fengcheng City,Liaoning
1628,40.8622599999999,124.56636,POINT (124.56636 40.8622599999999),,Liaoning
679,40.970137,124.693609,POINT (124.693609 40.970137),,Liaoning
2328,41.2237459999999,125.310982999999,POINT (125.310982999999 41.2237459999999),Huanren Manchu Autonomous County,Liaoning
674,41.184137,125.169833,POINT (125.169833 41.184137),Huanren Manchu Autonomous County,Liaoning
206,41.2784669999999,125.327055,POINT (125.327055 41.2784669999999),Huanren Manchu Autonomous County,Liaoning
1329,41.3504799999999,125.377596999999,POINT (125.377596999999 41.3504799999999),Huanren Manchu Autonomous County,Liaoning
484,41.485539,125.467855,POINT (125.467855 41.485539),Huanren Manchu Autonomous County,Liaoning
2146,41.67929,125.7594,POINT (125.7594 41.67929),,Jilin
1957,41.6086359999999,123.367909999999,POINT (123.367909999999 41.6086359999999),Shenyang City,Liaoning
2416,40.5193099999999,123.92518,POINT (123.92518 40.5193099999999),Fengcheng City,Liaoning
680,40.81492,124.50761,POINT (124.50761 40.81492),,Liaoning
2484,40.81958,124.648619999999,POINT (124.648619999999 40.81958),,Liaoning
810,40.7198599999999,124.78175,POINT (124.78175 40.7198599999999),Kuandian,Liaoning
1408,40.55848,124.842789999999,POINT (124.842789999999 40.55848),,Liaoning
2270,40.48174,124.811205,POINT (124.811205 40.48174),,Liaoning
1829,40.6323999999999,123.943749999999,POINT (123.943749999999 40.6323999999999),Fengcheng City,Liaoning
2706,41.4585799999999,119.556218,POINT (119.556218 41.4585799999999),,Liaoning
1468,41.4973999999999,119.46716,POINT (119.46716 41.4973999999999),Chaoyang City,Liaoning
2655,41.548115,119.387197,POINT (119.387197 41.548115),Chaoyang City,Liaoning
676,41.5952899999999,119.33788,POINT (119.33788 41.5952899999999),Ningcheng,Inner Mongolia
193,41.698712,119.276939,POINT (119.276939 41.698712),,Inner Mongolia
1420,41.7988319999999,119.266043999999,POINT (119.266043999999 41.7988319999999),,Inner Mongolia
145,41.9114829999999,119.273452,POINT (119.273452 41.9114829999999),Harqin Banner,Inner Mongolia
931,41.9810799999999,119.25667,POINT (119.25667 41.9810799999999),Harqin Banner,Inner Mongolia
932,42.04083,119.30628,POINT (119.30628 42.04083),平庄镇,Inner Mongolia
1644,42.139462,119.276188,POINT (119.276188 42.139462),,Inner Mongolia
274,42.2346799999999,119.242009999999,POINT (119.242009999999 42.2346799999999),,Inner Mongolia
2377,42.274245,119.182970999999,POINT (119.182970999999 42.274245),元宝山镇,Inner Mongolia
2493,42.4180679999999,119.330971,POINT (119.330971 42.4180679999999),,Inner Mongolia
2539,42.351502,119.418415,POINT (119.418415 42.351502),,Inner Mongolia
2697,42.3592379999999,119.449061,POINT (119.449061 42.3592379999999),,Inner Mongolia
2765,42.404434,119.555092,POINT (119.555092 42.404434),,Inner Mongolia
2619,42.57907,119.735707,POINT (119.735707 42.57907),,Inner Mongolia
2552,42.621195,119.859926,POINT (119.859926 42.621195),古鲁板蒿镇,Inner Mongolia
2494,42.644505,120.153166,POINT (120.153166 42.644505),,Inner Mongolia
2694,42.7071219999999,120.257598,POINT (120.257598 42.7071219999999),,Inner Mongolia
2776,42.7169189999999,120.335607999999,POINT (120.335607999999 42.7169189999999),,Inner Mongolia
2811,42.7261469999999,120.535411999999,POINT (120.535411999999 42.7261469999999),Tongliao City,Inner Mongolia
2701,42.754606,120.672503,POINT (120.672503 42.754606),Tongliao City,Inner Mongolia
2498,43.0795379999999,120.839689,POINT (120.839689 43.0795379999999),Tongliao City,Inner Mongolia
2583,43.148347,120.958496999999,POINT (120.958496999999 43.148347),Tongliao City,Inner Mongolia
2495,43.263773,121.186473,POINT (121.186473 43.263773),Tongliao City,Inner Mongolia
2529,43.2792719999999,121.234866999999,POINT (121.234866999999 43.2792719999999),Tongliao City,Inner Mongolia
2542,43.3114429999999,121.357895,POINT (121.357895 43.3114429999999),Tongliao City,Inner Mongolia
2801,43.3560019999999,121.515797,POINT (121.515797 43.3560019999999),Tongliao City,Inner Mongolia
2743,43.4151069999999,121.74961,POINT (121.74961 43.4151069999999),Tongliao City,Inner Mongolia
2724,43.425735,121.870362,POINT (121.870362 43.425735),Tongliao City,Inner Mongolia
2756,43.4923709999999,122.088076,POINT (122.088076 43.4923709999999),Tongliao City,Inner Mongolia
2712,42.358725,119.170533,POINT (119.170533 42.358725),,Inner Mongolia
2593,43.96475,126.751634999999,POINT (126.751634999999 43.96475),,Jilin
2730,43.9108129999999,126.961738,POINT (126.961738 43.9108129999999),,Jilin
2629,43.941101,127.084915,POINT (127.084915 43.941101),,Jilin
2612,43.927233,127.189002,POINT (127.189002 43.927233),,Jilin
2764,43.89473,127.266779,POINT (127.266779 43.89473),,Jilin
1738,43.58203,127.56082,POINT (127.56082 43.58203),,Jilin
2448,43.6419199999999,127.72788,POINT (127.72788 43.6419199999999),,Jilin
2451,43.5557799999999,128.017599999999,POINT (128.017599999999 43.5557799999999),Dunhua City,Jilin
656,43.3055099999999,128.50155,POINT (128.50155 43.3055099999999),Dunhua City,Jilin
2560,43.267924,128.63469,POINT (128.63469 43.267924),Dunhua City,Jilin
2515,43.0401299999999,129.018359,POINT (129.018359 43.0401299999999),Antu County,Jilin
2789,42.990527,129.091557999999,POINT (129.091557999999 42.990527),Antu County,Jilin
1225,42.872957,129.393008,POINT (129.393008 42.872957),,Jilin
1016,46.20022,121.732519999999,POINT (121.732519999999 46.20022),,Inner Mongolia
657,46.3124899999999,121.38382,POINT (121.38382 46.3124899999999),,Inner Mongolia
2641,46.408154,121.421344,POINT (121.421344 46.408154),,Inner Mongolia
1036,46.4941299999999,121.36391,POINT (121.36391 46.4941299999999),德佰斯镇,Inner Mongolia
1851,46.60289,121.24224,POINT (121.24224 46.60289),,Inner Mongolia
1183,46.712116,120.833986,POINT (120.833986 46.712116),,Inner Mongolia
203,46.7706409999999,120.319524,POINT (120.319524 46.7706409999999),,Inner Mongolia
2658,46.8799739999999,120.2542,POINT (120.2542 46.8799739999999),,Inner Mongolia
1737,47.0494899999999,120.10154,POINT (120.10154 47.0494899999999),,Inner Mongolia
2656,47.144981,120.103201,POINT (120.103201 47.144981),,Inner Mongolia
2508,47.1127049999999,120.036815,POINT (120.036815 47.1127049999999),,Inner Mongolia
2303,47.17217,119.948179999999,POINT (119.948179999999 47.17217),Arxan,Inner Mongolia
104,41.77094,126.044286,POINT (126.044286 41.77094),,Jilin
