node,lat,lon,city,state,state_num,degree,Degree_Centrality,Clustering_Coefficients,Closeness_Centrality,Betweenness_Centrality,Eigenvector_Centrality,cluster_degree,cluster_state_degree,cluster_Degree_Centrality,cluster_state_Degree_Centrality,cluster_Clustering_Coefficients,cluster_state_Clustering_Coefficients,cluster_Closeness_Centrality,cluster_state_Closeness_Centrality,cluster_Betweenness_Centrality,cluster_state_Betweenness_Centrality,cluster_Eigenvector_Centrality,cluster_state_Eigenvector_Centrality
70,39.14986,113.17829,Huanggang,Hubei,0,4,0.00147167,0.005552213,0.000711967,0.003807746,6.14E-10,28,27,27,27,24,22,0,1,1,1,1,1
1288,39.13249,113.094506,Huangzhou District,Hubei,0,2,0.000735835,0.004407158,0.000706918,0.002392725,1.63E-12,29,28,29,28,25,23,0,1,1,1,1,1
237,39.06689,112.95996,Huanggang,Hubei,0,8,0.002943341,0.006413137,0.000714914,0.007537494,4.67E-08,24,12,23,10,24,21,0,1,1,1,1,1
2286,39.00504,112.87957,Huanggang,Hubei,0,4,0.00147167,0.017521136,0.00071685,0.003834558,3.42E-08,28,27,27,27,18,13,0,1,1,1,1,1
1813,39.08268,112.19948,Wuxue,Hubei,0,4,0.00147167,0,0.000692538,0.002927633,4.02E-10,28,27,27,27,27,27,0,1,1,1,1,1
207,38.91726,111.83399,Zhanggong District,Jiangxi,0,4,0.00147167,0,0.000674748,0.002196537,4.06E-12,28,27,27,27,27,27,0,1,1,1,1,1
758,38.81582,111.7082,Heyuan,Guangdong Province,0,4,0.00147167,0,0.000666186,0.0014649,2.05E-14,28,27,27,27,27,27,0,1,1,1,1,1
1830,38.804953,111.652544,Heyuan,Guangdong Province,0,4,0.00147167,0,0.000663525,0.000732721,3.27E-17,28,27,27,27,27,27,0,1,1,1,1,1
873,38.71847,111.58174,Huizhou,Guangdong Province,0,2,0.000735835,0,0.000654799,0,1.73E-19,29,28,29,28,27,27,0,1,1,1,1,1
1482,38.600381,113.100819,Dongguan,Guangdong Province,0,2,0.000735835,0,0.000716128,0,9.74E-09,29,28,29,28,27,27,0,1,1,1,1,1
782,38.47886,112.96096,Nanshan District,Guangdong Province,0,4,0.00147167,0,0.00073643,0.000732721,9.56E-07,28,27,27,27,27,27,0,1,1,1,1,1
731,35.33036,112.96469,Ji'an City,Jiangxi,0,4,0.00147167,0,0.000795946,0.008417208,2.88E-09,28,27,27,27,27,27,0,0,1,1,1,1
82,35.38428,112.92393,Yi County,Liaoning,0,4,0.00147167,0,0.000791702,0.007800537,1.57E-11,28,27,27,27,27,27,0,0,1,1,1,1
2068,35.45032,112.87632,Yi County,Liaoning,0,4,0.00147167,0,0.000786982,0.007184272,4.02E-09,28,27,27,27,27,27,0,0,1,1,1,1
1194,35.51031,112.85155,Huludao City,Liaoning,0,4,0.00147167,0,0.00078234,0.007046031,5.03E-09,28,27,27,27,27,27,0,0,1,1,1,1
