node,lat,lon,state,state_num
1602,26.54053,105.03436,Guizhou,24
308,26.5910599999999,104.85212,Guizhou,24
1985,26.87967,104.25507,Guizhou,24
2145,27.08117,103.8869,Guizhou,24
1950,27.265851,103.848057,Guizhou,24
1191,27.340855,103.817173999999,Yunnan,25
1977,26.49229,105.10927,Guizhou,24
164,43.76885,87.59157,Xinjiang,26
162,43.869911,87.4215039999999,Xinjiang,26
1684,44.2492799999999,86.1963099999999,Xinjiang,26
1779,44.2697399999999,86.06323,Xinjiang,26
1469,44.3262799999999,85.61959,Xinjiang,26
707,44.4037799999999,84.90062,Xinjiang,26
1850,44.63633,83.02518,Xinjiang,26
454,44.9321899999999,82.6508599999999,Xinjiang,26
2304,45.17103,82.5729999999999,Xinjiang,26
1849,44.606073,82.920586,Xinjiang,26
859,43.9667999999999,82.04918,Xinjiang,26
906,43.899462,81.795207,Xinjiang,26
242,43.9549799999999,81.50239,Xinjiang,26
243,43.96757,81.2782299999999,Xinjiang,26
2333,44.1911869999999,80.421149,Xinjiang,26
1770,44.17765,129.337619999999,Heilongjiang,17
311,44.26746,129.412039999999,Heilongjiang,17
1578,44.4354099999999,129.50163,Heilongjiang,17
1537,44.5405599999999,129.55577,Heilongjiang,17
458,44.5530699999999,129.56553,Heilongjiang,17
927,44.598733,127.180642,Jilin,16
1242,44.8190999999999,127.19838,Heilongjiang,17
760,45.05243,127.06782,Heilongjiang,17
1929,45.17005,126.99841,Heilongjiang,17
1657,45.3507,126.73669,Heilongjiang,17
526,45.46188,126.67341,Heilongjiang,17
847,29.760438,116.011671,Hubei,10
730,29.911366,115.898048,Hubei,10
2022,29.883597,115.819663,Hubei,10
1479,41.394582,117.726831,Hebei,4
1437,41.445107,117.722052,Hebei,4
1461,41.50515,117.74699,Hebei,4
1002,41.58406,117.75695,Hebei,4
83,41.6591379999999,117.817683,Hebei,4
975,41.71721,117.86539,Hebei,4
1934,41.8781189999999,117.939024,Hebei,4
956,41.8781299999999,117.93902,Hebei,4
2228,41.9058259999999,118.041004,Hebei,4
2442,41.9684809999999,118.205552,Hebei,4
201,42.09208,118.165719999999,Inner Mongolia,5
1245,42.1420699999999,118.24827,Inner Mongolia,5
110,42.2126299999999,118.36296,Inner Mongolia,5
1658,42.2181399999999,118.4508,Inner Mongolia,5
576,42.2265299999999,118.556839999999,Inner Mongolia,5
32,42.29652,118.67836,Inner Mongolia,5
1214,42.3382769999999,118.778515,Inner Mongolia,5
391,42.3167649999999,118.854894,Inner Mongolia,5
2109,42.28482,118.91571,Inner Mongolia,5
217,37.99228,114.01758,Hebei,4
435,37.98968,113.93643,Hebei,4
725,37.96273,113.88059,Shanxi,0
828,37.8822699999999,113.19013,Shanxi,0
1944,37.73639,113.05319,Shanxi,0
2045,35.88024,111.44221,Shanxi,0
743,40.22701,113.331419999999,Shanxi,0
604,40.359732,113.278109,Shanxi,0
1130,40.5315299999999,113.23084,Inner Mongolia,5
1871,40.68319,113.21227,Inner Mongolia,5
595,40.78584,113.20541,Inner Mongolia,5
1965,40.9001499999999,113.113699999999,Inner Mongolia,5
294,40.9528299999999,112.84832,Inner Mongolia,5
402,40.90493,112.81841,Inner Mongolia,5
2379,40.9069399999999,112.705969999999,Inner Mongolia,5
711,40.9201699999999,112.62067,Inner Mongolia,5
416,40.902377,112.561949,Inner Mongolia,5
1825,40.96777,112.462459999999,Inner Mongolia,5
43,40.9927399999999,112.29613,Inner Mongolia,5
1159,40.9756069999999,112.152313,Inner Mongolia,5
1383,40.89602,112.09891,Inner Mongolia,5
2320,40.65934,110.93245,Inner Mongolia,5
1911,40.5839,110.74527,Inner Mongolia,5
302,40.5585719999999,110.366921,Inner Mongolia,5
80,40.556845,110.194833,Inner Mongolia,5
2318,40.88157,112.03491,Inner Mongolia,5
1674,26.475821,104.816912,Guizhou,24
1747,26.438188,104.806839999999,Guizhou,24
2183,26.358362,104.697776,Guizhou,24
480,26.31184,104.80506,Guizhou,24
2006,26.1963779999999,104.719791,Guizhou,24
1976,26.230823,104.747187,Guizhou,24
30,26.151526,104.724434,Guizhou,24
2331,26.097797,104.66855,Guizhou,24
1269,26.03163,104.62285,Guizhou,24
1292,26.0009799999999,104.50335,Guizhou,24
1216,25.92529,104.49912,Guizhou,24
1759,25.89021,104.50221,Guizhou,24
939,25.83541,104.50613,Guizhou,24
1951,25.7849499999999,104.48276,Guizhou,24
1466,25.7412239999999,104.470847,Guizhou,24
1868,25.71463,104.46431,Guizhou,24
920,25.652175,104.347954,Guizhou,24
821,25.6879269999999,104.276839,Yunnan,25
1906,25.6898829999999,104.235669,Yunnan,25
2119,25.69245,104.1526,Yunnan,25
1728,25.6589999999999,104.00476,Yunnan,25
936,25.66947,103.92858,Yunnan,25
1729,25.65737,103.867949999999,Yunnan,25
1212,25.52637,103.79231,Yunnan,25
2383,25.4854699999999,103.6226,Yunnan,25
520,25.4847329999999,103.534335,Yunnan,25
1648,25.41185,103.36826,Yunnan,25
843,25.30904,103.22392,Yunnan,25
1249,25.23667,103.08609,Yunnan,25
836,25.16634,102.99269,Yunnan,25
2212,25.02025,102.84189,Yunnan,25
1172,25.0183789999999,102.723519,Yunnan,25
1223,32.638285,105.879192,Sichuan,15
651,32.78486,105.92316,Sichuan,15
1650,32.91637,105.94387,Shaanxi,1
894,33.0559299999999,106.08866,Shaanxi,1
2401,33.1227099999999,106.04611,Shaanxi,1
171,33.19214,106.05018,Shaanxi,1
1357,33.3442399999999,106.08297,Shaanxi,1
1027,33.40549,106.05359,Shaanxi,1
2381,33.46942,106.04132,Shaanxi,1
1858,33.521802,106.036692,Shaanxi,1
1727,33.574406,106.082066,Shaanxi,1
107,33.7747499999999,106.31034,Gansu,2
1237,33.81425,106.39874,Gansu,2
775,33.848646,106.426942,Gansu,2
356,33.97003,106.65505,Shaanxi,1
1832,34.23279,106.90463,Shaanxi,1
660,32.56004,108.72695,Shaanxi,1
1854,32.52617,108.55122,Shaanxi,1
2400,32.4146119999999,108.328124,Shaanxi,1
1381,32.3421299999999,108.25122,Shaanxi,1
2436,32.2981699999999,108.19497,Shaanxi,1
901,32.25685,108.11859,Shaanxi,1
19,32.0834499999999,108.04294,Sichuan,15
808,31.54231,107.659319999999,Sichuan,15
2131,31.19855,107.453149999999,Sichuan,15
1382,31.61645,107.745009999999,Sichuan,15
406,34.3911099999999,107.3038,Shaanxi,1
357,34.4617599999999,107.25096,Shaanxi,1
348,34.52436,107.18942,Shaanxi,1
407,34.63526,107.11587,Shaanxi,1
1389,34.746417,107.019533999999,Shaanxi,1
724,34.805179,106.942693,Shaanxi,1
2313,34.89305,106.8643,Shaanxi,1
496,35.018528,106.784961,Shaanxi,1
1630,35.040494,106.776598,Shaanxi,1
1810,35.136817,106.791106,Gansu,2
756,35.2347699999999,106.80885,Gansu,2
887,35.31175,106.89308,Gansu,2
977,35.433886,106.837746,Gansu,2
